index,UID,category,editModifyDate,startDate,endDate,hitRate,time,locationName,onSale,latitude,longitude,endTime,YearType,Period,combCat
0,5b3dd544aaa378d7ca9a2e9a,6,2018/07/06 14:25:35,2021-12-07 00:00:00,2028-12-31 00:00:00,1757,2021/12/07 09:00:00,人類文化廳二樓,Y,24.157234,120.66606000000002,2028/12/31 17:00:00,Past,2581,"6,4"
1,5b3dd544aaa378d7ca9a2e9a,4,2018/07/06 14:25:35,2021-12-07 00:00:00,2028-12-31 00:00:00,1757,2021/12/07 09:00:00,人類文化廳二樓,Y,24.157234,120.66606000000002,2021/12/07 17:00:00,Past,2581,"6,4"
2,5c7e1bcdaaa375d860933d3a,6,2019/03/06 17:19:54,2019-03-05 00:00:00,2024-03-05 00:00:00,1792,2019/03/05 09:00:00,國立自然科學博物館,Y,24.157255499999998,120.6661841,2024/03/05 17:00:00,Past,1827,"6,4"
3,5c7e1bcdaaa375d860933d3a,4,2019/03/06 17:19:54,2019-03-05 00:00:00,2024-03-05 00:00:00,1792,2019/03/05 09:00:00,國立自然科學博物館,Y,24.157255499999998,120.6661841,2024/03/05 17:00:00,Past,1827,"6,4"
5,5cd25532aaa3f054c2cc6bad,19,2019/05/09 17:53:06,2021-12-11 00:00:00,2029-12-30 00:00:00,1934,2021/12/11 00:00:00,藍晒圖文創園區,Y,22.986726,120.196627,2029/12/30 00:00:00,Past,2941,"19,4"
6,5cd25532aaa3f054c2cc6bad,4,2019/05/09 17:53:06,2021-12-11 00:00:00,2029-12-30 00:00:00,1934,2021/12/11 00:00:00,藍晒圖文創園區,Y,22.986726,120.196627,2021/12/11 00:00:00,Past,2941,"19,4"
12,5f1ef5fdaaa3fbc2f8ecc1b5,19,2020/07/28 17:42:59,2021-12-07 00:00:00,2025-12-31 00:00:00,1620,2021/12/07 09:00:00,築好玩藝,Y,22.972932999999998,120.22788909999998,2025/12/31 17:30:00,Past,1485,"19,4"
13,5f1ef5fdaaa3fbc2f8ecc1b5,4,2020/07/28 17:42:59,2021-12-07 00:00:00,2025-12-31 00:00:00,1620,2021/12/07 09:00:00,築好玩藝,Y,22.972932999999998,120.22788909999998,2021/12/07 17:30:00,Past,1485,"19,4"
127,5ff98fc9aaa3d198a9e4f2bb,6,2021/11/30 18:08:48,2021-01-09 00:00:00,2021-12-31 00:00:00,15814,2021/01/09 00:00:00,線上展,N,25.032819,121.554905,2021/12/31 00:00:00,Past,356,"6,4"
128,5ff98fc9aaa3d198a9e4f2bb,4,2021/11/30 18:08:48,2021-01-09 00:00:00,2021-12-31 00:00:00,15814,2021/01/09 00:00:00,線上展,N,25.032819,121.554905,2021/12/31 00:00:00,Past,356,"6,4"
594,609a24a7aaa3dd413f5d1bd2,19,,2021-12-09 00:00:00,2021-12-31 00:00:00,401,2021/12/09 10:00:00,手拉坯 體驗課程,Y,,,2021/12/31 17:00:00,Past,22,"19,4"
595,609a24a7aaa3dd413f5d1bd2,4,,2021-12-09 00:00:00,2021-12-31 00:00:00,401,2021/12/09 10:00:00,手拉坯 體驗課程,Y,,,2021/12/09 11:30:00,Past,22,"19,4"
708,610547d3aaa344fef22fb2fe,19,,2021-12-15 00:00:00,2022-01-05 00:00:00,104,2021/12/15 19:30:00,小小書房,Y,,,2022/01/05 21:30:00,Past,21,"19,200"
709,610547d3aaa344fef22fb2fe,200,,2021-12-15 00:00:00,2022-01-05 00:00:00,104,2021/12/15 19:30:00,小小書房,Y,,,2021/12/15 21:30:00,Past,21,"19,200"
719,6110d6a0aaa344fef22fb314,2,,2022-01-15 00:00:00,2022-01-15 00:00:00,162,2022/01/15 19:30:00,臺中市葫蘆墩文化中心演奏廳,Y,,,2022/01/15 20:30:00,Future,0,"2,4"
720,6110d6a0aaa344fef22fb314,4,,2022-01-15 00:00:00,2022-01-15 00:00:00,162,2022/01/15 19:30:00,臺中市葫蘆墩文化中心演奏廳,Y,,,2022/01/15 20:30:00,Future,0,"2,4"
769,61272fc9aaa344fef22fb346,7,,2021-12-08 00:00:00,2022-05-18 00:00:00,108,2021/12/08 14:00:00,新月藝文沙龍,Y,,,2021/12/08 16:00:00,Past,161,"7,4"
770,61272fc9aaa344fef22fb346,4,,2021-12-08 00:00:00,2022-05-18 00:00:00,108,2021/12/08 14:00:00,新月藝文沙龍,Y,,,2021/12/08 16:00:00,Past,161,"7,4"
836,613f09cfaaa3cf0fc41b992b,1,2021/09/15 11:05:49,2022-02-12 00:00:00,2022-02-12 00:00:00,93,2022/02/12 19:30:00,國父紀念館大會堂,Y,,,2022/02/12 21:40:00,Future,0,"1,4"
837,613f09cfaaa3cf0fc41b992b,4,2021/09/15 11:05:49,2022-02-12 00:00:00,2022-02-12 00:00:00,93,2022/02/12 19:30:00,國父紀念館大會堂,Y,,,2022/02/12 21:40:00,Future,0,"1,4"
953,615958dfaaa33ebf7159b245,6,2021/10/05 09:12:17,2021-11-20 00:00:00,2021-12-08 00:00:00,40,2021/11/20 00:00:00,臺中市大墩文心中心 大墩藝廊（三）,N,,,2021/12/08 00:00:00,Past,18,"6,4"
954,615958dfaaa33ebf7159b245,4,2021/10/05 09:12:17,2021-11-20 00:00:00,2021-12-08 00:00:00,40,2021/11/20 00:00:00,臺中市大墩文心中心 大墩藝廊（三）,N,,,2021/12/08 00:00:00,Past,18,"6,4"
1119,616d1bb6aaa3465eb167c949,6,2021/11/01 09:21:41,2021-10-09 00:00:00,2021-12-26 00:00:00,2349,2021/10/09 09:00:00,鶯歌陶瓷博物館,N,,,2021/12/26 17:00:00,Past,78,"6,4"
1120,616d1bb6aaa3465eb167c949,4,2021/11/01 09:21:41,2021-10-09 00:00:00,2021-12-26 00:00:00,2349,2021/10/09 09:00:00,鶯歌陶瓷博物館,N,,,2021/12/26 17:00:00,Past,78,"6,4"
1152,617110daaaa30a40f12013d5,6,,2021-11-13 00:00:00,2021-12-26 00:00:00,1,2021/11/13 11:00:00,藍瓦空間 Living Lab Gallery​,N,,,2021/12/26 21:00:00,Past,43,"6,4"
1153,617110daaaa30a40f12013d5,4,,2021-11-13 00:00:00,2021-12-26 00:00:00,1,2021/11/13 11:00:00,藍瓦空間 Living Lab Gallery​,N,,,2021/12/26 21:00:00,Past,43,"6,4"
1237,61776192aaa3bffa7acd5ade,6,2021/11/18 15:25:08,2021-09-12 00:00:00,2021-12-16 00:00:00,17,2021/09/12 00:00:00,桃園市原住民族文化會館,N,,,2021/12/16 00:00:00,Past,95,"6,200"
1238,61776192aaa3bffa7acd5ade,200,2021/11/18 15:25:08,2021-09-12 00:00:00,2021-12-16 00:00:00,17,2021/09/12 00:00:00,桃園市原住民族文化會館,N,,,2021/12/16 00:00:00,Past,95,"200,4"
1239,61776192aaa3bffa7acd5ade,4,2021/11/18 15:25:08,2021-09-12 00:00:00,2021-12-16 00:00:00,17,2021/09/12 00:00:00,桃園市原住民族文化會館,N,,,2021/12/16 00:00:00,Past,95,"200,4"
1240,6177bcb1aaa3bffa7acd5ae1,19,,2021-12-11 00:00:00,2021-12-11 00:00:00,12,2021/12/11 18:00:00,王大閎書軒,Y,,,2021/12/11 21:00:00,Past,0,"19,200"
1241,6177bcb1aaa3bffa7acd5ae1,200,,2021-12-11 00:00:00,2021-12-11 00:00:00,12,2021/12/11 18:00:00,王大閎書軒,Y,,,2021/12/11 21:00:00,Past,0,"19,200"
1272,61791f90aaa30a40f12013dd,2,,2021-12-10 00:00:00,2021-12-11 00:00:00,9,2021/12/10 19:30:00,桃園市南區青少年活動中心演藝廳,Y,,,2021/12/10 21:00:00,Past,1,"2,200"
1273,61791f90aaa30a40f12013dd,200,,2021-12-10 00:00:00,2021-12-11 00:00:00,9,2021/12/10 19:30:00,桃園市南區青少年活動中心演藝廳,Y,,,2021/12/10 21:00:00,Past,1,"200,4"
1274,61791f90aaa30a40f12013dd,4,,2021-12-10 00:00:00,2021-12-11 00:00:00,9,2021/12/10 19:30:00,桃園市南區青少年活動中心演藝廳,Y,,,2021/12/10 21:00:00,Past,1,"200,4"
1324,617b6301aaa30a40f12013e0,7,,2021-12-11 00:00:00,2021-12-11 00:00:00,6,2021/12/11 10:00:00,蓮德品素天地B1,Y,,,2021/12/11 12:00:00,Past,0,"7,200"
1325,617b6301aaa30a40f12013e0,200,,2021-12-11 00:00:00,2021-12-11 00:00:00,6,2021/12/11 10:00:00,蓮德品素天地B1,Y,,,2021/12/11 12:00:00,Past,0,"7,200"
1326,617b63f9aaa30a40f12013e1,7,,2021-12-25 00:00:00,2021-12-25 00:00:00,5,2021/12/25 10:00:00,蓮德品素天地B1,N,,,2021/12/25 12:00:00,Past,0,"7,200"
1327,617b63f9aaa30a40f12013e1,200,,2021-12-25 00:00:00,2021-12-25 00:00:00,5,2021/12/25 10:00:00,蓮德品素天地B1,N,,,2021/12/25 12:00:00,Past,0,"7,200"
1388,617e00c3aaa3b6d57faffdb6,15,,2021-10-12 00:00:00,2022-01-09 00:00:00,5,2021/10/12 09:00:00,2021關渡國際自然藝術季,Y,,,2022/01/09 17:00:00,Past,89,"15,4"
1389,617e00c3aaa3b6d57faffdb6,4,,2021-10-12 00:00:00,2022-01-09 00:00:00,5,2021/10/12 09:00:00,2021關渡國際自然藝術季,Y,,,2022/01/09 17:00:00,Past,89,"15,4"
1487,6180deb5aaa30a40f12013e4,15,,2021-12-11 00:00:00,2021-12-11 00:00:00,5,2021/12/11 14:00:00,林安泰古厝,Y,,,2021/12/11 17:00:00,Past,0,"15,200"
1488,6180deb5aaa30a40f12013e4,200,,2021-12-11 00:00:00,2021-12-11 00:00:00,5,2021/12/11 14:00:00,林安泰古厝,Y,,,2021/12/11 17:00:00,Past,0,"200,4"
1489,6180deb5aaa30a40f12013e4,4,,2021-12-11 00:00:00,2021-12-11 00:00:00,5,2021/12/11 14:00:00,林安泰古厝,Y,,,2021/12/11 17:00:00,Past,0,"200,4"
1490,61810846aaa30a40f12013e7,6,2021/11/18 15:24:20,2021-09-15 00:00:00,2021-12-31 00:00:00,6,2021/09/15 00:00:00,國際原住民族文化創意產業園區籌備處,N,,,2021/12/31 00:00:00,Past,107,"6,200"
1491,61810846aaa30a40f12013e7,200,2021/11/18 15:24:20,2021-09-15 00:00:00,2021-12-31 00:00:00,6,2021/09/15 00:00:00,國際原住民族文化創意產業園區籌備處,N,,,2021/12/31 00:00:00,Past,107,"200,4"
1492,61810846aaa30a40f12013e7,4,2021/11/18 15:24:20,2021-09-15 00:00:00,2021-12-31 00:00:00,6,2021/09/15 00:00:00,國際原住民族文化創意產業園區籌備處,N,,,2021/12/31 00:00:00,Past,107,"200,4"
1538,6182a950aaa30a40f12013f6,2,,2021-12-18 00:00:00,2021-12-18 00:00:00,13,2021/12/18 13:30:00,府中15,N,,,2021/12/18 17:00:00,Past,0,"2,4"
1539,6182a950aaa30a40f12013f6,4,,2021-12-18 00:00:00,2021-12-18 00:00:00,13,2021/12/18 13:30:00,府中15,N,,,2021/12/18 17:00:00,Past,0,"2,4"
1792,618a1b6aaaa3b6d57faffdc7,6,2021/11/30 18:12:32,2021-11-20 00:00:00,2022-01-15 00:00:00,10,2021/11/20 15:00:00,愛上藝廊,N,,,2022/01/15 13:00:00,Past,56,"6,4"
1793,618a1b6aaaa3b6d57faffdc7,4,2021/11/30 18:12:32,2021-11-20 00:00:00,2022-01-15 00:00:00,10,2021/11/20 15:00:00,愛上藝廊,N,,,2022/01/15 13:00:00,Past,56,"6,4"
2008,61922260aaa3b6d57faffdef,6,,2021-12-07 00:00:00,2021-12-19 00:00:00,3,2021/12/07 11:00:00,1839當代藝廊,N,,,2021/12/19 19:00:00,Past,12,"6,4"
2009,61922260aaa3b6d57faffdef,4,,2021-12-07 00:00:00,2021-12-19 00:00:00,3,2021/12/07 11:00:00,1839當代藝廊,N,,,2021/12/07 19:00:00,Past,12,"6,4"
2098,61935293aaa30a40f120145c,15,,2021-12-25 00:00:00,2021-12-25 00:00:00,13,2021/12/25 10:00:00,大新店游泳池,Y,,,2021/12/25 12:00:00,Past,0,"15,4"
2099,61935293aaa30a40f120145c,4,,2021-12-25 00:00:00,2021-12-25 00:00:00,13,2021/12/25 10:00:00,大新店游泳池,Y,,,2021/12/25 12:00:00,Past,0,"15,4"
2197,61954b1baaa30a40f120145f,14,,2021-10-29 00:00:00,2022-06-30 00:00:00,12,2021/10/29 00:00:00,國家人權博物館,N,,,2022/06/30 00:00:00,Past,244,"14,200"
2198,61954b1baaa30a40f120145f,200,,2021-10-29 00:00:00,2022-06-30 00:00:00,12,2021/10/29 00:00:00,國家人權博物館,N,,,2022/06/30 00:00:00,Past,244,"200,4"
2199,61954b1baaa30a40f120145f,4,,2021-10-29 00:00:00,2022-06-30 00:00:00,12,2021/10/29 00:00:00,國家人權博物館,N,,,2022/06/30 00:00:00,Past,244,"200,4"
2239,6195fab0aaa3b6d57faffdf4,7,,2021-12-18 00:00:00,2021-12-18 00:00:00,8,2021/12/18 14:30:00,典藏藝術✕文心藝所｜選書、聊書、話建築｜生活就是建築，建築源於生活,N,,,2021/12/18 16:00:00,Past,0,"7,200"
2240,6195fab0aaa3b6d57faffdf4,200,,2021-12-18 00:00:00,2021-12-18 00:00:00,8,2021/12/18 14:30:00,典藏藝術✕文心藝所｜選書、聊書、話建築｜生活就是建築，建築源於生活,N,,,2021/12/18 16:00:00,Past,0,"7,200"
2285,619726fbaaa3b6d57faffdf7,6,,2021-10-06 00:00:00,2022-03-27 00:00:00,1,2021/10/06 09:00:00,「Ayo-Ayo！明天應該會更好」移動人權特展,N,,,2022/03/27 17:00:00,Past,172,"6,4"
2286,619726fbaaa3b6d57faffdf7,4,,2021-10-06 00:00:00,2022-03-27 00:00:00,1,2021/10/06 09:00:00,「Ayo-Ayo！明天應該會更好」移動人權特展,N,,,2022/03/27 17:00:00,Past,172,"6,4"
2287,61974e38aaa3b6d57faffdf8,1,2021/11/19 16:50:37,2021-12-10 00:00:00,2021-12-12 00:00:00,314,2021/12/10 18:00:00,大安森林公園音樂台,N,25.030085999999997,121.53535,2021/12/10 22:00:00,Past,2,"1,4"
2288,61974e38aaa3b6d57faffdf8,4,2021/11/19 16:50:37,2021-12-10 00:00:00,2021-12-12 00:00:00,314,2021/12/10 18:00:00,大安森林公園音樂台,N,25.030085999999997,121.53535,2021/12/10 22:00:00,Past,2,"1,4"
2397,619b4d03aaa3b6d57faffe17,15,,2021-12-18 00:00:00,2021-12-18 00:00:00,3,2021/12/18 10:00:00,大新店游泳池,Y,,,2021/12/18 12:00:00,Past,0,"15,4"
2398,619b4d03aaa3b6d57faffe17,4,,2021-12-18 00:00:00,2021-12-18 00:00:00,3,2021/12/18 10:00:00,大新店游泳池,Y,,,2021/12/18 12:00:00,Past,0,"15,4"
2586,619df194aaa30a40f12014e9,3,,2022-01-07 00:00:00,2022-01-09 00:00:00,2,2022/01/07 00:00:00,國家兩廳院實驗劇場,Y,,,2022/01/09 00:00:00,Future,2,"3,4"
2587,619df194aaa30a40f12014e9,4,,2022-01-07 00:00:00,2022-01-09 00:00:00,2,2022/01/07 00:00:00,國家兩廳院實驗劇場,Y,,,2022/01/09 00:00:00,Future,2,"3,4"
2662,619f3c3aaaa30a40f120153d,6,,2021-11-24 00:00:00,2022-05-31 00:00:00,15,2021/11/24 00:00:00,想食．饗時 ─ 臺灣飲食檔案特展,N,,,2022/05/31 00:00:00,Past,188,"6,4"
2663,619f3c3aaaa30a40f120153d,4,,2021-11-24 00:00:00,2022-05-31 00:00:00,15,2021/11/24 00:00:00,想食．饗時 ─ 臺灣飲食檔案特展,N,,,2022/05/31 00:00:00,Past,188,"6,4"
2844,61a27252aaa30a40f1201540,15,,2021-11-25 00:00:00,2021-12-25 00:00:00,3,2021/11/25 00:00:00,Sare新事,N,,,2021/12/25 00:00:00,Past,30,"15,200"
2845,61a27252aaa30a40f1201540,200,,2021-11-25 00:00:00,2021-12-25 00:00:00,3,2021/11/25 00:00:00,Sare新事,N,,,2021/12/25 00:00:00,Past,30,"15,200"
2852,61a49147aaa3b6d57faffe6b,7,,2021-12-26 00:00:00,2021-12-26 00:00:00,4,2021/12/26 14:00:00,書屋花甲南機場店,Y,,,2021/12/26 16:00:00,Past,0,"7,200"
2853,61a49147aaa3b6d57faffe6b,200,,2021-12-26 00:00:00,2021-12-26 00:00:00,4,2021/12/26 14:00:00,書屋花甲南機場店,Y,,,2021/12/26 16:00:00,Past,0,"200,4"
2854,61a49147aaa3b6d57faffe6b,4,,2021-12-26 00:00:00,2021-12-26 00:00:00,4,2021/12/26 14:00:00,書屋花甲南機場店,Y,,,2021/12/26 16:00:00,Past,0,"200,4"
2930,61a5c6faaaa3b6d57faffe70,7,,2021-12-09 00:00:00,2021-12-09 00:00:00,5,2021/12/09 14:00:00,素直共讀19《貓非貓》,N,,,2021/12/09 15:30:00,Past,0,"7,200"
2931,61a5c6faaaa3b6d57faffe70,200,,2021-12-09 00:00:00,2021-12-09 00:00:00,5,2021/12/09 14:00:00,素直共讀19《貓非貓》,N,,,2021/12/09 15:30:00,Past,0,"7,200"
2939,61a621dbaaa3b6d57faffe71,7,,2022-01-08 00:00:00,2022-01-08 00:00:00,1,2022/01/08 10:00:00,蓮德品素天地B1,Y,,,2022/01/08 12:00:00,Future,0,"7,200"
2940,61a621dbaaa3b6d57faffe71,200,,2022-01-08 00:00:00,2022-01-08 00:00:00,1,2022/01/08 10:00:00,蓮德品素天地B1,Y,,,2022/01/08 12:00:00,Future,0,"7,200"
3112,61a6dbd8aaa3b6d57faffe73,1,,2022-01-22 00:00:00,2022-01-22 00:00:00,1,2022/01/22 19:30:00,松菸誠品表演廳,Y,,,2022/01/22 21:30:00,Future,0,"1,200"
3113,61a6dbd8aaa3b6d57faffe73,200,,2022-01-22 00:00:00,2022-01-22 00:00:00,1,2022/01/22 19:30:00,松菸誠品表演廳,Y,,,2022/01/22 21:30:00,Future,0,"1,200"
3115,61a70faaaaa30a40f1201543,6,2021/12/01 14:15:20,2021-11-30 00:00:00,2023-12-31 00:00:00,16,2021/11/30 09:00:00,生活工藝館五樓　,N,23.9797,120.69095,2023/12/31 17:00:00,Past,761,"6,4"
3116,61a70faaaaa30a40f1201543,4,2021/12/01 14:15:20,2021-11-30 00:00:00,2023-12-31 00:00:00,16,2021/11/30 09:00:00,生活工藝館五樓　,N,23.9797,120.69095,2023/12/31 17:00:00,Past,761,"6,4"
3117,61a7219aaaa30a40f1201545,7,,2021-12-16 00:00:00,2021-12-16 00:00:00,3,2021/12/16 19:30:00,Zoom,Y,,,2021/12/16 21:00:00,Past,0,"7,200"
3118,61a7219aaaa30a40f1201545,200,,2021-12-16 00:00:00,2021-12-16 00:00:00,3,2021/12/16 19:30:00,Zoom,Y,,,2021/12/16 21:00:00,Past,0,"7,200"
3280,61a86139aaa30a40f1201548,3,,2021-12-07 00:00:00,2021-12-14 00:00:00,1,2021/12/07 10:00:00,高雄市立圖書館新興分館,N,,,2021/12/07 12:00:00,Past,7,"3,4"
3281,61a86139aaa30a40f1201548,4,,2021-12-07 00:00:00,2021-12-14 00:00:00,1,2021/12/07 10:00:00,高雄市立圖書館新興分館,N,,,2021/12/07 12:00:00,Past,7,"3,4"
3282,61a86b5caaa3b6d57faffe76,15,,2021-12-12 00:00:00,2021-12-12 00:00:00,3,2021/12/12 13:00:00,星空桌遊育樂館,Y,,,2021/12/12 16:00:00,Past,0,"15,200"
3283,61a86b5caaa3b6d57faffe76,200,,2021-12-12 00:00:00,2021-12-12 00:00:00,3,2021/12/12 13:00:00,星空桌遊育樂館,Y,,,2021/12/12 16:00:00,Past,0,"200,4"
3284,61a86b5caaa3b6d57faffe76,4,,2021-12-12 00:00:00,2021-12-12 00:00:00,3,2021/12/12 13:00:00,星空桌遊育樂館,Y,,,2021/12/12 16:00:00,Past,0,"200,4"
3285,61a887c8aaa3b6d57faffe78,15,,2022-01-21 00:00:00,2022-02-10 00:00:00,1,2022/01/21 09:30:00,順益台灣原住民博物館,Y,,,2022/01/21 11:30:00,Future,20,"15,4"
3286,61a887c8aaa3b6d57faffe78,4,,2022-01-21 00:00:00,2022-02-10 00:00:00,1,2022/01/21 09:30:00,順益台灣原住民博物館,Y,,,2022/01/21 11:30:00,Future,20,"15,4"
3517,61aa13c1aaa3b6d57faffe79,19,,2021-12-20 00:00:00,2022-01-24 00:00:00,0,2021/12/20 19:40:00,小小書房,Y,,,2022/01/24 21:40:00,Past,35,"19,200"
3518,61aa13c1aaa3b6d57faffe79,200,,2021-12-20 00:00:00,2022-01-24 00:00:00,0,2021/12/20 19:40:00,小小書房,Y,,,2021/12/20 21:40:00,Past,35,"19,200"
3665,61ab61cbaaa30a40f120154a,7,,2021-12-10 00:00:00,2021-12-10 00:00:00,0,2021/12/10 19:30:00,小小書房,Y,,,2021/12/10 21:30:00,Past,0,"7,200"
3666,61ab61cbaaa30a40f120154a,200,,2021-12-10 00:00:00,2021-12-10 00:00:00,0,2021/12/10 19:30:00,小小書房,Y,,,2021/12/10 21:30:00,Past,0,"7,200"
3667,61ab62a5aaa30a40f120154b,19,,2021-12-28 00:00:00,2022-01-25 00:00:00,0,2021/12/28 19:30:00,小小書房,Y,,,2022/01/25 21:30:00,Past,28,"19,200"
3668,61ab62a5aaa30a40f120154b,200,,2021-12-28 00:00:00,2022-01-25 00:00:00,0,2021/12/28 19:30:00,小小書房,Y,,,2021/12/28 21:30:00,Past,28,"19,200"
3669,61ab67baaaa30a40f120154c,19,,2022-02-19 00:00:00,2022-02-19 00:00:00,0,2022/02/19 19:30:00,小小書房,Y,,,2022/02/19 21:30:00,Future,0,"19,200"
3670,61ab67baaaa30a40f120154c,200,,2022-02-19 00:00:00,2022-02-19 00:00:00,0,2022/02/19 19:30:00,小小書房,Y,,,2022/02/19 21:30:00,Future,0,"19,200"
